Unique Class Stereotype,Class Count
factory pure-controller degenerate small-class,1
data-provider small-class,3
entity data-provider boundary,2
commander boundary data-class small-class,1
entity boundary degenerate,2
entity boundary lazy-class degenerate,1
entity boundary small-class,10
small-class,3
entity boundary,18
pure-controller degenerate small-class,3
data-provider,7
data-provider data-class small-class,2
commander boundary degenerate,2
boundary degenerate small-class,4
unclassified,36
data-provider boundary,8
pure-controller degenerate,1
minimal-entity commander boundary,1
commander boundary,4
boundary degenerate,3
entity minimal-entity boundary,1
commander boundary small-class,3
data-provider boundary small-class,7
entity small-class,1
empty,129
commander,5
controller degenerate,3
data-provider data-class,1
degenerate small-class,6
pure-controller small-class,2
boundary,26
degenerate,5
boundary data-class small-class,2
data-provider lazy-class degenerate,1
Total,304
