Unique Method Stereotype,Method Count
void-accessor controller,2
void-accessor set,1
predicate controller,3
predicate set collaborator,2
property set collaborator,7
predicate collaborator,11
predicate non-void-command,9
get controller,1
void-accessor set collaborator,1
get non-void-command,6
predicate wrapper,10
non-void-command collaborator,1
get wrapper,1
constructor,173
get collaborator,73
set,21
get property collaborator,3
property,27
get property non-void-command collaborator,1
get,39
collaborator incidental,28
void-accessor command,8
controller stateless,9
void-accessor collaborator,1
void-accessor command collaborator,85
predicate,40
command,40
unclassified,18
empty,21
collaborator,13
command collaborator,22
property wrapper,34
get non-void-command collaborator,20
destructor,33
get set,4
wrapper,8
predicate set,5
property collaborator,71
property non-void-command,6
predicate non-void-command collaborator,11
incidental,22
controller,3
copy-constructor,19
void-accessor wrapper,3
wrapper stateless,41
set collaborator,16
property controller,13
property non-void-command collaborator,20
get set collaborator,9
Total,1015
