Unique Class Stereotype,Class Count
commander data-class,1
controller,3
boundary lazy-class degenerate,1
data-provider data-class small-class,3
entity data-provider boundary,8
data-provider boundary data-class small-class,2
pure-controller,2
data-class,1
boundary small-class,1
factory degenerate,2
commander data-class small-class,1
data-provider data-class,2
data-provider boundary,22
controller small-class,6
unclassified,122
boundary degenerate,9
entity minimal-entity commander boundary,1
commander boundary,31
data-provider,24
lazy-class degenerate,6
boundary data-class small-class,2
data-provider lazy-class degenerate,5
commander small-class,22
commander boundary degenerate,1
controller lazy-class degenerate,2
pure-controller degenerate,100
pure-controller small-class,4
boundary,48
degenerate,30
empty,125
commander,30
data-provider boundary small-class,19
commander boundary small-class,4
lazy-class,4
commander degenerate,1
boundary degenerate small-class,36
pure-controller degenerate small-class,113
entity commander boundary,15
commander lazy-class degenerate,1
degenerate small-class,15
small-class,33
entity boundary small-class,37
data-provider boundary data-class,1
data-class small-class,4
entity boundary,35
data-provider small-class,9
boundary data-class,2
entity minimal-entity boundary,3
Total,949
