Unique Method Stereotype,Method Count
get predicate collaborator,1
property collaborator,108
property non-void-command,111
predicate set,7
property wrapper,100
get non-void-command collaborator,5
get property controller,1
constructor,577
predicate,197
get predicate,2
void-accessor command,64
wrapper stateless,214
incidental,167
controller,102
get,395
collaborator incidental,82
get property non-void-command collaborator,2
property,190
command collaborator,405
controller stateless,735
get collaborator,236
unclassified,14
empty,325
command,628
property set,12
set,342
property non-void-command collaborator,262
set collaborator,301
property controller,36
get non-void-command,9
get property wrapper,1
predicate non-void-command collaborator,149
wrapper,31
destructor,125
predicate set collaborator,10
void-accessor command collaborator,127
predicate collaborator,31
void-accessor,11
copy-constructor,11
void-accessor collaborator,9
void-accessor wrapper,24
predicate non-void-command,156
get property set collaborator,5
get property collaborator,2
void-accessor set collaborator,10
get property non-void-command,3
predicate controller,17
predicate wrapper,45
get set collaborator,12
property set collaborator,14
void-accessor controller,22
set factory collaborator,1
collaborator,6
get property,7
void-accessor set,7
get wrapper,4
property set factory collaborator,3
get set,6
get predicate non-void-command,1
factory collaborator stateless,8
Total,6488
