Method Stereotype,Stereotype Count
get,739
predicate,622
property,1540
void-accessor,63
set,534
command,1003
non-void-command,1075
collaborator,2116
controller,441
wrapper,586
constructor,1086
copy-constructor,75
destructor,538
factory,72
incidental,185
stateless,655
empty,147
unclassified,68
Total,11545
