Unique Class Stereotype,Class Count
entity minimal-entity boundary,3
entity boundary small-class,1
small-class,2
entity data-provider boundary,7
data-provider lazy-class small-class,1
data-provider boundary data-class,2
entity boundary,14
data-provider small-class,4
data-provider boundary data-class small-class,1
boundary small-class,1
unclassified,15
controller small-class,1
data-provider boundary,9
boundary data-class small-class,1
commander boundary small-class,1
data-provider boundary small-class,5
empty,33
commander,2
boundary degenerate small-class,4
entity commander boundary,1
pure-controller degenerate small-class,1
commander boundary,5
boundary degenerate,4
boundary,15
degenerate,3
data-provider,2
data-provider data-class small-class,1
commander boundary data-class small-class,1
commander small-class,1
data-provider boundary degenerate,1
Total,142
