Unique Class Stereotype,Class Count
commander boundary data-class small-class,1
factory controller small-class,1
commander boundary small-class,1
commander data-class small-class,1
minimal-entity commander boundary,1
boundary,5
degenerate small-class,2
commander lazy-class small-class,1
boundary degenerate,1
commander boundary,10
entity minimal-entity boundary,3
commander small-class,5
boundary degenerate small-class,2
entity commander boundary,4
empty,30
unclassified,6
commander,24
entity boundary,4
data-provider boundary data-class small-class,1
boundary small-class,9
controller small-class,1
degenerate,1
Total,114
