Unique Class Stereotype,Class Count
data-provider boundary small-class,25
data-provider boundary,31
data-provider boundary data-class small-class,4
lazy-class,1
data-provider data-class small-class,1
data-provider,16
controller small-class,8
unclassified,19
commander,1
empty,225
entity data-provider boundary,3
data-provider small-class,6
boundary degenerate small-class,17
entity commander boundary,1
pure-controller degenerate small-class,4
entity boundary small-class,6
small-class,7
commander boundary,5
commander small-class,5
entity boundary lazy-class,1
boundary small-class,2
data-provider data-class,2
commander boundary small-class,1
entity boundary,7
data-class small-class,2
boundary,25
degenerate,1
controller data-class small-class,2
lazy-class degenerate,1
degenerate small-class,1
boundary lazy-class,1
Total,431
