Unique Method Stereotype,Method Count
property set,6
predicate set,2
command empty,12
wrapper stateless,752
get property non-void-command collaborator,2
collaborator incidental,62
get factory,1
get,377
property non-void-command,41
property non-void-command factory collaborator,9
predicate controller,5
get property wrapper,2
property collaborator,9
stateless,4
property set collaborator,7
get non-void-command collaborator,8
property wrapper,91
wrapper,100
predicate non-void-command collaborator,31
incidental,56
copy-constructor,18
collaborator stateless,12
collaborator,1
set factory collaborator,1
get wrapper,3
get non-void-command,4
non-void-command collaborator,88
predicate wrapper,3
empty,89
unclassified,6
controller,108
factory collaborator,1
property controller,22
property non-void-command collaborator,140
non-void-command factory collaborator,4
controller stateless,737
void-accessor wrapper,1
predicate non-void-command,35
property factory,10
get collaborator,214
constructor,436
command,99
property factory wrapper,8
set,288
void-accessor set collaborator,2
get property non-void-command,3
get property collaborator,6
get property,1
void-accessor,1
predicate collaborator,3
factory wrapper stateless,8
predicate,19
set collaborator,149
non-void-command,179
command collaborator,281
property,19
void-accessor command collaborator,15
factory controller stateless,11
void-accessor command,1
factory collaborator stateless,5
get predicate wrapper,9
get predicate non-void-command,2
property factory collaborator,1
factory collaborator incidental,7
predicate set collaborator,2
get set factory collaborator,2
property factory controller,2
void-accessor controller,4
get set collaborator,2
Total,4639
