Unique Method Stereotype,Method Count
factory collaborator stateless,1
factory controller stateless,2
unclassified,2
collaborator,2
get property,5
property set,3
predicate collaborator,8
get wrapper,8
predicate set collaborator,10
get set collaborator,20
property set collaborator,8
get non-void-command collaborator,11
property wrapper,28
property command collaborator,9
void-accessor controller,7
get set factory collaborator,1
command collaborator,245
controller stateless,178
void-accessor wrapper,6
wrapper stateless,110
void-accessor command,33
get set,3
wrapper,38
destructor,57
command,106
empty,36
constructor,267
get property collaborator,1
set,119
property controller,31
set collaborator,133
property non-void-command collaborator,199
predicate non-void-command,17
predicate controller,2
non-void-command factory collaborator,2
get collaborator,149
property,49
get non-void-command,19
void-accessor set collaborator,22
predicate,77
void-accessor command collaborator,155
void-accessor collaborator,3
void-accessor set,3
property non-void-command factory collaborator,2
predicate set,1
property collaborator,14
property non-void-command,12
predicate wrapper,4
non-void-command collaborator,5
predicate non-void-command collaborator,55
copy-constructor,12
incidental,32
controller,29
get property non-void-command collaborator,2
get,125
collaborator incidental,38
Total,2516
