Unique Method Stereotype,Method Count
predicate wrapper,3
predicate set collaborator,2
void-accessor set collaborator,1
property set,1
void-accessor controller,2
get property,1
non-void-command factory collaborator,2
predicate controller,2
predicate collaborator,5
empty,9
unclassified,6
factory collaborator,1
get wrapper,6
controller stateless,60
void-accessor wrapper,2
wrapper stateless,43
command collaborator,93
predicate non-void-command,8
get collaborator,20
set,28
get property collaborator,2
wrapper,8
get set,3
destructor,70
property set collaborator,9
command,115
constructor,126
get non-void-command collaborator,1
property wrapper,26
copy-constructor,4
incidental,13
controller,15
predicate non-void-command collaborator,12
property non-void-command factory collaborator,4
predicate set,1
property non-void-command,25
property collaborator,52
collaborator,8
property,22
predicate,19
property controller,16
property non-void-command collaborator,124
set collaborator,15
get,19
collaborator incidental,10
property factory collaborator,3
void-accessor command collaborator,6
void-accessor collaborator,1
void-accessor,1
Total,1025
