Unique Method Stereotype,Method Count
wrapper,1
get set collaborator,3
property set,1
predicate wrapper,1
predicate non-void-command collaborator,1
controller,4
incidental,2
get collaborator,4
controller stateless,11
wrapper stateless,17
non-void-command factory collaborator,2
predicate non-void-command,3
property controller,1
property non-void-command collaborator,21
set collaborator,5
constructor,44
set,7
command,29
empty,4
command collaborator,49
get non-void-command collaborator,1
get wrapper,1
factory collaborator stateless,4
get non-void-command,2
property set collaborator,1
stateless,1
collaborator,1
collaborator stateless,1
property non-void-command factory collaborator,1
property non-void-command,7
property factory collaborator,2
factory wrapper stateless,1
get property non-void-command collaborator,2
collaborator incidental,13
get,20
property,4
Total,272
