Unique Class Stereotype,Class Count
entity minimal-entity boundary,1
controller degenerate,1
boundary lazy-class degenerate,1
commander data-class,2
factory degenerate small-class,1
entity data-provider boundary,2
entity data-provider boundary small-class,1
entity boundary,40
entity boundary small-class,28
small-class,16
commander data-class small-class,6
boundary small-class,3
data-provider boundary,3
data-provider boundary data-class small-class,3
controller small-class,2
unclassified,22
entity small-class,3
empty,324
commander,21
factory controller data-class small-class,1
data-provider boundary small-class,7
pure-controller degenerate,29
boundary degenerate small-class,16
data-provider small-class,2
boundary data-class small-class,1
entity boundary data-class small-class,1
entity commander boundary,28
pure-controller degenerate small-class,16
boundary,15
degenerate,16
factory controller small-class,3
entity minimal-entity commander boundary,1
commander boundary,81
boundary degenerate,5
commander boundary small-class,40
commander boundary data-class small-class,4
commander small-class,13
lazy-class degenerate,2
degenerate small-class,5
commander boundary degenerate,1
Total,767
