Unique Class Stereotype,Class Count
boundary degenerate,7
degenerate small-class,4
entity minimal-entity boundary,2
pure-controller degenerate small-class,3
data-provider small-class,2
data-provider boundary small-class,2
entity boundary,7
data-provider boundary data-class,2
entity data-provider boundary,6
data-provider boundary data-class small-class,2
controller small-class,5
data-provider boundary,16
pure-controller degenerate,1
boundary,18
commander boundary small-class,3
boundary degenerate small-class,19
entity boundary small-class,7
small-class,6
data-class small-class,3
degenerate,3
unclassified,5
empty,116
data-provider boundary lazy-class,1
data-provider data-class small-class,1
data-provider,4
Total,245
