Unique Class Stereotype,Class Count
commander boundary small-class,1
data-provider boundary lazy-class,1
controller degenerate,1
data-provider boundary data-class,1
controller,1
boundary lazy-class,1
degenerate small-class,4
data-provider boundary small-class,6
boundary data-class small-class,1
data-class,1
boundary degenerate small-class,26
data-provider small-class,10
controller small-class,2
unclassified,35
small-class,26
entity boundary small-class,11
entity data-provider boundary,6
data-provider lazy-class small-class,1
data-provider boundary,26
boundary small-class,3
lazy-class,1
commander boundary degenerate,1
controller lazy-class degenerate,1
entity boundary,21
data-class small-class,1
boundary degenerate,6
pure-controller degenerate small-class,6
entity boundary data-class small-class,1
commander boundary,4
boundary,30
degenerate,8
pure-controller small-class,3
data-provider boundary degenerate,9
empty,101
commander,3
data-provider,8
data-provider data-class small-class,2
entity boundary degenerate,4
commander small-class,2
Total,376
