Class Stereotype,Stereotype Count
entity,265
minimal-entity,11
data-provider,82
commander,270
boundary,660
factory,75
controller,99
pure-controller,156
large-class,0
lazy-class,22
degenerate,312
data-class,27
small-class,507
empty,533
unclassified,298
Total,3317
