Unique Method Stereotype,Method Count
get wrapper,1
unclassified,2
get non-void-command factory collaborator,1
factory collaborator incidental,3
command collaborator,5
property factory collaborator,3
get set collaborator,11
factory controller stateless,2
non-void-command factory collaborator,2
factory collaborator stateless,6
get set,19
wrapper,12
property set collaborator,2
get non-void-command,17
constructor,138
set,3
property factory wrapper,3
empty,5
factory controller,3
predicate wrapper,1
non-void-command collaborator,94
wrapper stateless,62
property factory controller,4
property collaborator,5
property non-void-command factory collaborator,4
controller stateless,307
property non-void-command collaborator,40
property controller,3
incidental,1
controller,35
copy-constructor,37
command,20
get non-void-command collaborator,16
property wrapper,3
get collaborator,4
void-accessor,1
void-accessor command collaborator,3
collaborator stateless,6
get property non-void-command collaborator,1
get,4
collaborator incidental,3
Total,892
