Unique Method Stereotype,Method Count
get property,3
property set factory collaborator,2
factory wrapper,2
factory controller,1
get property controller,1
void-accessor command collaborator,205
get,105
collaborator incidental,84
get command collaborator,1
get property non-void-command collaborator,2
property wrapper,96
get non-void-command collaborator,24
void-accessor command,60
property non-void-command,39
property collaborator,135
predicate set,16
property non-void-command factory collaborator,6
void-accessor collaborator,5
copy-constructor,318
incidental,129
non-void-command,4
set collaborator,73
property non-void-command collaborator,289
property controller,30
set factory collaborator,1
collaborator,63
empty,87
unclassified,89
controller,41
factory collaborator,1
non-void-command factory collaborator,1
controller stateless,224
void-accessor,2
predicate collaborator,25
factory wrapper stateless,3
property set collaborator,46
destructor,252
predicate non-void-command collaborator,117
wrapper,127
constructor,1037
set,138
wrapper stateless,272
property,86
command collaborator,195
get set factory collaborator,1
void-accessor controller,26
predicate,111
predicate controller,13
non-void-command collaborator,2
get non-void-command,53
get property non-void-command,2
void-accessor set collaborator,36
property factory collaborator,2
void-accessor wrapper,59
predicate non-void-command,60
property factory,8
get property set collaborator,1
get wrapper,37
void-accessor set,17
property set,6
get set collaborator,16
property command collaborator,15
predicate wrapper,23
predicate set collaborator,14
command,317
property factory wrapper,3
get collaborator,137
get controller,9
non-void-command factory,1
get set,38
get predicate non-void-command,1
Total,5445
