Unique Method Stereotype,Method Count
get property set,1
get property,4
get property wrapper,2
property set factory,1
get predicate non-void-command collaborator,1
factory wrapper,3
get wrapper,5
get set factory,1
predicate collaborator,19
get property non-void-command factory collaborator,4
property factory,5
predicate wrapper,14
incidental,110
collaborator incidental,254
get property non-void-command collaborator,21
get,107
factory collaborator stateless,168
predicate non-void-command collaborator,242
wrapper,285
get predicate non-void-command,3
get set,7
property set collaborator,71
factory wrapper stateless,863
non-void-command,13
set collaborator,310
property non-void-command collaborator,1714
property controller,63
get property non-void-command,1
get property collaborator,2
void-accessor set collaborator,19
void-accessor command collaborator,197
copy-constructor,59
void-accessor collaborator,2
set,238
constructor,3329
unclassified,137
controller,383
factory collaborator,6
property factory wrapper,102
command,887
empty,145
get property controller,4
factory controller,15
get factory controller,2
predicate controller,12
property non-void-command,68
property non-void-command factory collaborator,171
stateless,18
property collaborator,50
predicate set,1
factory collaborator incidental,9
wrapper stateless,1211
non-void-command factory collaborator,249
controller stateless,1733
property set factory collaborator,29
property non-void-command factory,4
collaborator stateless,112
property factory collaborator,59
get collaborator,137
predicate set collaborator,15
get non-void-command,7
non-void-command collaborator,27
void-accessor wrapper,6
predicate non-void-command,42
property wrapper,143
get non-void-command collaborator,27
get set collaborator,26
command collaborator,2027
property,22
predicate,98
get property set collaborator,9
property factory controller,28
void-accessor controller,11
get set factory collaborator,4
get non-void-command factory collaborator,1
set factory collaborator,10
collaborator,26
destructor,1
factory controller stateless,77
void-accessor command,16
Total,16305
