Unique Method Stereotype,Method Count
factory stateless,1
get predicate wrapper,1
get property,6
predicate set,1
get property controller,1
factory controller,1
property set,2
get non-void-command factory collaborator,3
get property set collaborator,2
get property non-void-command collaborator,3
factory collaborator incidental,4
destructor,2
predicate,28
property wrapper,454
get non-void-command collaborator,4
property factory collaborator,8
property non-void-command,67
property non-void-command factory collaborator,20
factory collaborator stateless,57
get set factory,2
wrapper stateless,146
collaborator incidental,140
get,241
property factory wrapper,7
command,299
collaborator,10
set factory collaborator,5
property non-void-command factory,1
collaborator stateless,65
predicate wrapper,142
get non-void-command,1
non-void-command collaborator,110
void-accessor wrapper,9
predicate non-void-command,44
predicate controller,4
property non-void-command collaborator,173
non-void-command,131
set collaborator,137
property controller,10
incidental,75
controller,32
wrapper,592
predicate non-void-command collaborator,45
get collaborator,169
constructor,497
set,183
void-accessor command collaborator,184
copy-constructor,9
void-accessor collaborator,2
get factory wrapper,1
empty,96
get property collaborator,2
void-accessor set collaborator,11
non-void-command factory collaborator,18
controller stateless,80
property set collaborator,3
property collaborator,28
stateless,6
get wrapper,24
predicate collaborator,9
get predicate,3
factory wrapper stateless,9
void-accessor command,6
factory controller stateless,13
get set collaborator,14
factory wrapper,1
unclassified,3
get set factory collaborator,67
void-accessor controller,3
property factory controller,5
get set,1
get factory collaborator,1
command collaborator,511
property,13
get predicate collaborator,1
get predicate non-void-command collaborator,2
Total,5061
