Unique Method Stereotype,Method Count
get controller,1
void-accessor set,3
get wrapper,7
get property,2
get set collaborator,8
predicate set collaborator,6
predicate non-void-command,22
non-void-command collaborator,2
predicate wrapper,24
predicate controller,5
property,39
get non-void-command collaborator,18
property wrapper,41
get collaborator,102
unclassified,22
command,100
empty,92
void-accessor,2
void-accessor collaborator,5
void-accessor command collaborator,97
controller stateless,19
get property collaborator,3
set,49
constructor,256
get set,6
wrapper,15
destructor,88
property set collaborator,13
predicate collaborator,20
property non-void-command factory collaborator,1
predicate set,5
property collaborator,116
property non-void-command,8
collaborator,18
command collaborator,65
void-accessor wrapper,14
wrapper stateless,69
property controller,14
set collaborator,31
property non-void-command collaborator,39
get property non-void-command collaborator,2
collaborator incidental,28
get,110
predicate non-void-command collaborator,16
incidental,42
copy-constructor,23
controller,10
void-accessor controller,18
get non-void-command,8
void-accessor set collaborator,9
predicate,36
void-accessor command,35
Total,1784
