Unique Class Stereotype,Class Count
boundary lazy-class data-class,1
commander boundary degenerate,1
boundary controller,1
entity boundary data-class,1
entity commander boundary,35
factory pure-controller small-class,4
data-provider,28
boundary lazy-class degenerate,1
controller degenerate,3
data-provider data-class,3
boundary small-class,10
commander data-class small-class,1
degenerate small-class,18
boundary lazy-class,1
boundary,83
degenerate,34
pure-controller small-class,8
boundary data-class,2
commander small-class,26
entity boundary degenerate,1
boundary degenerate,20
factory pure-controller degenerate small-class,2
commander boundary,142
entity small-class,2
factory controller,1
commander boundary small-class,25
entity minimal-entity boundary,5
data-provider boundary,11
entity boundary lazy-class,1
boundary degenerate small-class,23
entity minimal-entity commander boundary,1
small-class,31
pure-controller degenerate small-class,31
entity boundary small-class,17
data-provider lazy-class degenerate,6
boundary data-class small-class,3
unclassified,238
controller small-class,9
commander boundary data-class small-class,4
commander,191
entity boundary,47
lazy-class degenerate,2
lazy-class,6
data-provider boundary data-class,4
data-provider degenerate,4
empty,336
data-provider lazy-class small-class,1
entity,2
data-provider boundary lazy-class small-class,1
data-provider boundary data-class small-class,5
data-provider data-class small-class,3
data-class small-class,3
commander degenerate,2
factory controller small-class,6
minimal-entity boundary,3
entity factory controller,1
controller,9
data-provider boundary small-class,15
pure-controller,10
entity factory controller small-class,9
data-provider lazy-class,2
data-provider small-class,6
pure-controller degenerate,15
entity data-provider boundary,4
factory degenerate small-class,3
Total,1524
