Unique Method Stereotype,Method Count
controller stateless,5
predicate non-void-command,10
property controller,1
property non-void-command collaborator,15
set collaborator,8
get collaborator,8
factory controller,1
empty,2
command,66
command collaborator,59
wrapper,9
property set collaborator,14
constructor,66
set,9
collaborator incidental,2
get,15
get property non-void-command collaborator,1
predicate set,1
property non-void-command,45
property non-void-command factory collaborator,5
predicate,2
get wrapper,1
incidental,4
controller,4
copy-constructor,2
predicate non-void-command collaborator,1
property wrapper,3
factory controller stateless,2
wrapper stateless,1
collaborator stateless,2
Total,364
