Unique Class Stereotype,Class Count
boundary lazy-class degenerate,1
entity data-provider boundary,1
commander lazy-class small-class,1
commander data-class,1
entity,1
small-class,4
commander boundary lazy-class small-class,1
pure-controller degenerate,1
commander boundary,37
boundary degenerate,2
controller,1
boundary,11
degenerate,4
unclassified,7
data-provider data-class small-class,5
commander boundary small-class,3
commander boundary lazy-class,2
commander boundary degenerate,5
boundary degenerate small-class,15
pure-controller degenerate small-class,2
entity commander boundary,10
empty,212
commander,9
data-provider boundary small-class,2
data-class small-class,2
entity boundary,10
boundary data-class small-class,1
entity boundary small-class,4
data-provider degenerate,1
commander boundary data-class small-class,1
commander small-class,2
commander data-class small-class,1
boundary small-class,2
data-provider boundary,1
degenerate small-class,1
Total,364
