Method Stereotype,Stereotype Count
get,32
predicate,38
property,117
void-accessor,55
set,137
command,513
non-void-command,123
collaborator,605
controller,77
wrapper,341
constructor,174
copy-constructor,0
destructor,0
factory,48
incidental,55
stateless,253
empty,11
unclassified,8
Total,2587
