Unique Class Stereotype,Class Count
boundary lazy-class data-class,1
entity boundary data-class small-class,1
data-provider lazy-class degenerate,1
commander boundary degenerate,1
commander boundary data-class,2
entity data-provider boundary degenerate,1
factory controller data-class small-class,1
entity boundary lazy-class degenerate,2
entity factory controller degenerate,1
entity boundary degenerate,27
boundary data-class small-class,22
boundary,310
pure-controller small-class,6
commander boundary lazy-class degenerate,1
data-provider small-class,23
entity commander boundary,26
factory pure-controller degenerate small-class,28
entity commander boundary degenerate,1
small-class,92
minimal-entity commander boundary,1
pure-controller degenerate small-class,45
entity boundary small-class,69
unclassified,316
controller small-class,15
data-provider lazy-class small-class,1
empty,3121
entity data-provider boundary,40
pure-controller degenerate,9
commander boundary small-class,31
boundary lazy-class degenerate,7
controller degenerate,5
entity boundary lazy-class,1
boundary degenerate small-class,64
commander data-class small-class,12
boundary small-class,19
data-provider data-class,2
data-class,2
commander boundary data-class small-class,11
commander,61
entity boundary,390
data-provider data-class small-class,7
data-provider boundary data-class small-class,9
degenerate small-class,52
boundary lazy-class,2
degenerate,43
controller lazy-class degenerate,1
entity boundary data-class,2
data-provider boundary,91
entity minimal-entity boundary,11
lazy-class,20
minimal-entity boundary,1
data-class small-class,12
factory controller small-class,13
commander degenerate,1
commander boundary,45
factory degenerate small-class,154
data-provider,32
lazy-class small-class,9
controller,7
data-provider boundary small-class,51
pure-controller,2
lazy-class degenerate,2
data-provider degenerate,1
data-provider boundary data-class,8
data-provider boundary lazy-class,3
commander lazy-class small-class,3
data-provider boundary degenerate,4
entity minimal-entity data-provider boundary,1
entity boundary lazy-class small-class,1
commander small-class,74
boundary data-class,10
data-provider boundary lazy-class degenerate,4
boundary degenerate,59
commander lazy-class degenerate,1
Total,5505
