Unique Method Stereotype,Method Count
predicate controller,6
get controller,1
factory controller stateless,3
get property,5
property set collaborator,5
property command collaborator,4
predicate collaborator,4
factory wrapper stateless,4
property factory collaborator,7
factory collaborator stateless,2
non-void-command collaborator,3
predicate wrapper,7
get property non-void-command,2
predicate non-void-command,16
property factory,2
void-accessor set,5
property set,4
unclassified,2
get property collaborator,7
set,31
wrapper,18
destructor,127
command collaborator,99
void-accessor command,51
void-accessor collaborator,17
void-accessor command collaborator,110
void-accessor,22
get wrapper,15
wrapper stateless,111
void-accessor wrapper,40
property non-void-command factory collaborator,1
predicate set,3
property collaborator,75
property non-void-command,22
constructor,242
command,132
empty,18
controller stateless,46
factory stateless,3
predicate,25
get non-void-command,1
void-accessor set collaborator,7
void-accessor controller,24
get non-void-command collaborator,2
property wrapper,15
copy-constructor,13
incidental,87
controller,8
predicate non-void-command collaborator,22
get command collaborator,1
collaborator incidental,9
get property non-void-command collaborator,6
get,173
property controller,29
set collaborator,16
property non-void-command collaborator,45
collaborator,10
property,71
get collaborator,46
Total,1882
