Method Stereotype,Stereotype Count
get,259
predicate,83
property,300
void-accessor,276
set,71
command,397
non-void-command,120
collaborator,498
controller,117
wrapper,210
constructor,242
copy-constructor,13
destructor,127
factory,22
incidental,96
stateless,169
empty,18
unclassified,2
Total,3020
