Unique Class Stereotype,Class Count
lazy-class degenerate,1
commander boundary data-class,1
factory small-class,1
data-class,1
entity minimal-entity data-provider boundary,1
controller lazy-class degenerate,2
commander boundary degenerate,1
entity data-provider,1
data-provider small-class,3
data-provider boundary,2
entity minimal-entity boundary,1
data-provider lazy-class small-class,1
entity,5
entity factory controller,15
data-provider,1
entity data-provider boundary,3
small-class,26
entity boundary small-class,94
commander data-class small-class,18
boundary small-class,20
boundary lazy-class degenerate,2
controller degenerate,8
factory controller small-class,37
controller,12
factory pure-controller degenerate small-class,24
entity factory controller small-class,45
factory controller data-class small-class,7
data-provider boundary small-class,51
factory controller,1
entity small-class,4
commander,3
empty,973
controller small-class,19
unclassified,33
factory pure-controller degenerate,1
data-class small-class,3
entity boundary,44
pure-controller degenerate,152
commander boundary small-class,65
commander boundary,44
boundary degenerate,26
boundary degenerate small-class,28
pure-controller degenerate small-class,123
entity commander boundary,34
degenerate,31
large-class,2
boundary,30
pure-controller small-class,17
pure-controller,6
degenerate small-class,5
commander small-class,5
commander boundary data-class small-class,3
Total,2036
