Method Stereotype,Stereotype Count
get,549
predicate,253
property,862
void-accessor,32
set,279
command,1515
non-void-command,915
collaborator,2104
controller,606
wrapper,458
constructor,502
copy-constructor,11
destructor,0
factory,110
incidental,237
stateless,487
empty,115
unclassified,3
Total,9038
