Unique Method Stereotype,Method Count
get property,2
property set factory collaborator,1
void-accessor command collaborator,21
property wrapper,49
get non-void-command collaborator,2
controller,80
void-accessor collaborator,10
copy-constructor,2
incidental,18
predicate wrapper,69
get collaborator,4
predicate,6
collaborator incidental,22
get property non-void-command collaborator,5
property controller,22
property non-void-command collaborator,96
property set collaborator,5
void-accessor,2
predicate collaborator,7
factory wrapper stateless,11
predicate non-void-command collaborator,62
wrapper,103
wrapper stateless,173
set,52
constructor,396
empty,116
factory controller,3
collaborator,37
property non-void-command,29
property collaborator,12
property non-void-command factory collaborator,17
predicate set,1
void-accessor wrapper,8
predicate non-void-command,21
predicate controller,19
void-accessor controller,5
property factory controller,22
command,452
property factory wrapper,6
unclassified,6
non-void-command factory,3
command collaborator,670
property,8
non-void-command factory collaborator,22
controller stateless,73
property factory collaborator,3
get property wrapper,14
non-void-command collaborator,16
get non-void-command,4
get property collaborator,14
void-accessor set collaborator,1
get property non-void-command,1
set collaborator,140
non-void-command,26
factory controller stateless,1
factory wrapper,3
predicate set collaborator,9
collaborator stateless,30
property non-void-command factory,3
property set,1
get wrapper,3
Total,3019
