Unique Class Stereotype,Class Count
data-provider boundary,1
commander degenerate,2
boundary degenerate,2
commander lazy-class small-class,2
commander boundary data-class,1
controller lazy-class degenerate,3
pure-controller degenerate,5
small-class,30
entity boundary small-class,32
boundary small-class,11
commander data-class small-class,10
data-provider boundary small-class,13
commander boundary small-class,51
boundary lazy-class,1
degenerate small-class,51
boundary degenerate small-class,90
factory controller small-class,1
boundary lazy-class degenerate,1
controller degenerate,2
entity small-class,2
commander,25
empty,714
controller small-class,12
unclassified,20
entity boundary degenerate,1
commander small-class,23
commander boundary data-class small-class,7
data-provider lazy-class degenerate,1
boundary data-class small-class,1
commander boundary,31
factory pure-controller small-class,1
entity commander boundary,18
pure-controller degenerate small-class,97
factory pure-controller degenerate small-class,1
data-provider small-class,3
lazy-class small-class,4
entity boundary,4
boundary,10
degenerate,11
pure-controller small-class,7
lazy-class degenerate,6
Total,1308
