Unique Method Stereotype,Method Count
predicate wrapper,1
property factory wrapper,1
void-accessor command,9
property set collaborator,2
wrapper,19
void-accessor set collaborator,1
get non-void-command,1
controller stateless,7
command collaborator,83
wrapper stateless,3
void-accessor wrapper,2
get property,2
get non-void-command collaborator,1
property wrapper,4
get,14
get collaborator,6
void-accessor set,1
set,18
command,72
factory controller,1
empty,11
predicate non-void-command collaborator,4
incidental,4
controller,16
property,4
predicate set collaborator,1
constructor,24
get property controller,1
predicate non-void-command,2
set collaborator,14
property non-void-command collaborator,5
get property non-void-command,2
property non-void-command,1
property non-void-command factory collaborator,1
Total,338
