Method Stereotype,Stereotype Count
get,352
predicate,325
property,1139
void-accessor,364
set,339
command,1343
non-void-command,758
collaborator,1533
controller,338
wrapper,428
constructor,739
copy-constructor,24
destructor,79
factory,7
incidental,143
stateless,488
empty,32
unclassified,20
Total,8451
