Unique Method Stereotype,Method Count
get property non-void-command,1
unclassified,1
incidental,4
get property collaborator,1
get collaborator,1
property,15
collaborator incidental,1
predicate,15
set,1
constructor,38
wrapper,1
predicate collaborator,2
destructor,15
get,30
property non-void-command,3
copy-constructor,5
controller stateless,2
property controller,2
property collaborator,3
wrapper stateless,11
get wrapper,2
property non-void-command collaborator,5
predicate non-void-command,4
predicate wrapper,1
predicate controller,6
property wrapper,3
predicate non-void-command collaborator,1
Total,174
