Unique Class Stereotype,Class Count
boundary data-class,1
boundary small-class,1
commander small-class,1
commander boundary small-class,6
commander,2
degenerate,14
entity boundary degenerate,1
entity boundary small-class,2
entity commander boundary degenerate,1
small-class,3
empty,49
unclassified,17
commander boundary degenerate,1
boundary degenerate small-class,3
entity commander boundary,1
lazy-class,3
boundary,4
entity boundary,4
data-class,6
pure-controller degenerate small-class,6
boundary degenerate,3
commander boundary,9
Total,138
