Unique Method Stereotype,Method Count
get property collaborator,1
get non-void-command,1
command collaborator,14
get non-void-command collaborator,1
property wrapper,4
void-accessor command,3
command,6
empty,9
constructor,34
wrapper stateless,12
property set collaborator,3
destructor,2
wrapper,2
predicate non-void-command,10
predicate wrapper,1
get collaborator,6
set collaborator,3
property non-void-command collaborator,12
property controller,1
controller stateless,18
predicate non-void-command collaborator,14
incidental,13
copy-constructor,2
void-accessor command collaborator,2
property non-void-command,1
property collaborator,6
predicate set collaborator,3
get property non-void-command collaborator,2
get,5
predicate,6
get set collaborator,1
Total,198
