Unique Method Stereotype,Method Count
predicate controller,1
property set collaborator,1
destructor,1
property factory controller,2
non-void-command,1
property factory collaborator,2
factory collaborator stateless,1
get set collaborator,1
non-void-command collaborator,7
command collaborator,134
factory wrapper stateless,1
predicate collaborator,1
wrapper,10
predicate non-void-command,9
property wrapper,6
wrapper stateless,68
void-accessor command collaborator,4
command,37
factory controller,1
empty,21
unclassified,1
predicate set,1
property non-void-command,4
property collaborator,3
property non-void-command factory collaborator,2
constructor,190
set,9
property factory wrapper,3
set collaborator,17
property non-void-command collaborator,26
property controller,3
controller stateless,558
predicate,2
copy-constructor,9
predicate non-void-command collaborator,13
incidental,13
controller,50
collaborator,2
get,1
get property non-void-command collaborator,1
collaborator incidental,9
factory controller stateless,3
Total,1229
