Unique Class Stereotype,Class Count
factory controller small-class,1
entity boundary small-class,9
small-class,9
boundary small-class,3
commander boundary,14
controller,4
boundary degenerate,3
data-provider boundary small-class,5
data-class small-class,1
entity boundary,5
boundary degenerate small-class,12
controller small-class,3
unclassified,10
entity data-provider boundary,1
degenerate small-class,6
pure-controller degenerate,34
pure-controller,3
entity commander boundary,4
pure-controller degenerate small-class,13
boundary,2
pure-controller small-class,2
degenerate,11
commander boundary small-class,8
commander degenerate,3
data-provider data-class small-class,1
factory degenerate small-class,2
controller degenerate,4
commander small-class,8
commander boundary data-class small-class,2
commander,5
empty,126
entity small-class,1
Total,315
