Unique Method Stereotype,Method Count
factory collaborator stateless,1
property set collaborator,2
predicate,1
unclassified,1
destructor,6
void-accessor controller,5
get collaborator,1
controller stateless,9
void-accessor command collaborator,6
property non-void-command,7
property collaborator,3
property controller,15
set collaborator,3
property non-void-command collaborator,32
predicate non-void-command,4
get property collaborator,1
set,5
constructor,19
void-accessor command,1
get predicate non-void-command collaborator,1
collaborator incidental,3
get,4
get controller,1
command,11
empty,3
get set,1
wrapper,8
void-accessor set collaborator,1
get non-void-command,5
property wrapper,9
get non-void-command collaborator,3
command collaborator,3
void-accessor wrapper,1
wrapper stateless,3
get wrapper,3
predicate set collaborator,1
predicate non-void-command collaborator,2
incidental,5
copy-constructor,3
controller,1
Total,194
