Unique Class Stereotype,Class Count
entity factory controller,2
data-provider boundary lazy-class,2
data-provider,2
boundary data-class small-class,1
commander boundary degenerate,1
data-provider boundary data-class,1
boundary controller,1
data-provider boundary data-class small-class,4
entity factory controller small-class,8
boundary small-class,3
factory degenerate,6
commander data-class small-class,1
data-class,1
entity minimal-entity boundary,1
entity degenerate,1
controller degenerate,17
factory degenerate small-class,139
commander boundary small-class,30
data-provider boundary small-class,20
entity boundary small-class,37
small-class,47
pure-controller degenerate small-class,62
entity commander boundary,179
boundary degenerate small-class,33
pure-controller degenerate,17
factory controller,5
entity small-class,19
commander,34
empty,750
boundary large-class degenerate,1
controller small-class,9
unclassified,166
entity minimal-entity commander boundary,1
commander boundary,120
boundary degenerate,22
factory pure-controller degenerate small-class,3
controller,16
commander lazy-class,1
data-provider data-class small-class,8
data-class small-class,47
controller lazy-class small-class,1
entity boundary,53
boundary lazy-class,5
degenerate small-class,21
boundary,47
degenerate,43
pure-controller small-class,7
pure-controller,4
entity boundary data-class,1
factory controller small-class,141
data-provider boundary lazy-class small-class,2
minimal-entity boundary,2
boundary data-class,3
entity boundary degenerate,1
commander boundary data-class small-class,5
commander small-class,12
data-provider boundary,12
entity,9
Total,2187
