Method Stereotype,Stereotype Count
get,2137
predicate,1380
property,2407
void-accessor,163
set,1842
command,4878
non-void-command,2565
collaborator,7027
controller,903
wrapper,1408
constructor,1608
copy-constructor,60
destructor,1120
factory,787
incidental,1742
stateless,1391
empty,381
unclassified,23
Total,31822
