Unique Class Stereotype,Class Count
factory degenerate small-class,1
data-provider boundary data-class,1
pure-controller degenerate small-class,3
commander small-class,1
factory degenerate,1
data-provider,2
entity boundary,40
boundary data-class small-class,1
entity boundary degenerate,2
commander,2
boundary,23
data-provider boundary,3
entity commander boundary degenerate,2
entity boundary small-class,2
empty,52
unclassified,6
commander lazy-class degenerate,1
entity commander boundary,2
boundary degenerate,8
entity minimal-entity boundary,1
entity small-class,2
Total,156
