Unique Class Stereotype,Class Count
commander boundary small-class,1
commander boundary degenerate,1
data-provider,1
degenerate,1
data-provider data-class,2
entity commander boundary,6
small-class,2
unclassified,1
empty,84
commander boundary,10
data-provider small-class,2
boundary data-class,7
pure-controller small-class,1
entity minimal-entity boundary,1
entity boundary,19
data-provider boundary,6
controller small-class,2
boundary data-class small-class,2
boundary lazy-class,1
data-class,5
entity data-provider boundary,5
degenerate small-class,9
data-provider boundary small-class,2
commander,6
boundary,9
Total,186
