Unique Method Stereotype,Method Count
factory collaborator stateless,1
property factory wrapper,1
get set collaborator,2
get property set collaborator,1
factory controller stateless,1
get wrapper,1
property factory controller,1
collaborator,1
get set factory collaborator,2
property,1
get collaborator,1
predicate non-void-command,2
void-accessor set collaborator,2
get property wrapper,2
constructor,30
predicate controller,7
property factory collaborator,4
unclassified,3
command,163
factory controller,1
empty,15
get property,3
controller stateless,19
wrapper,37
predicate collaborator,8
predicate,1
void-accessor controller,2
command collaborator,117
void-accessor command collaborator,13
predicate set,3
property collaborator,3
get property collaborator,1
set,40
void-accessor wrapper,3
wrapper stateless,34
predicate wrapper,14
property controller,1
set collaborator,24
property non-void-command collaborator,12
predicate set collaborator,3
void-accessor command,7
incidental,17
controller,21
predicate non-void-command collaborator,17
get non-void-command collaborator,3
property wrapper,1
get,1
collaborator incidental,7
Total,654
