Unique Class Stereotype,Class Count
lazy-class data-class,1
entity factory controller degenerate,1
factory controller data-class small-class,1
commander boundary data-class,1
entity degenerate,2
large-class degenerate,1
large-class,1
commander data-class small-class,3
entity boundary data-class small-class,2
lazy-class,2
entity data-provider boundary data-class small-class,1
lazy-class degenerate,6
data-provider boundary lazy-class,2
factory controller,7
entity factory controller data-class small-class,1
commander lazy-class small-class,1
data-provider boundary degenerate,2
data-provider lazy-class,1
commander boundary large-class,1
commander boundary degenerate,9
unclassified,314
controller small-class,72
boundary data-class,3
commander small-class,69
entity boundary degenerate,28
boundary lazy-class,4
degenerate small-class,78
commander boundary lazy-class degenerate,1
controller lazy-class small-class,2
data-provider,38
entity commander boundary,111
data-class,11
commander boundary data-class small-class,1
entity boundary,358
commander,252
entity small-class,34
entity boundary data-class,4
data-provider boundary lazy-class small-class,1
commander boundary small-class,158
data-provider data-class small-class,18
data-provider boundary data-class small-class,22
boundary large-class degenerate,2
boundary small-class,17
data-provider data-class,10
data-provider boundary lazy-class degenerate,8
factory degenerate,2
boundary,287
controller lazy-class degenerate,1
degenerate,202
pure-controller small-class,57
boundary degenerate small-class,144
commander boundary,581
commander lazy-class degenerate,1
boundary degenerate,179
entity boundary lazy-class degenerate,2
entity commander boundary degenerate,4
small-class,142
pure-controller degenerate,76
entity data-provider boundary,37
empty,1620
data-provider lazy-class small-class,7
entity,20
commander data-class,1
factory degenerate small-class,28
data-provider small-class,5
data-provider boundary,74
entity minimal-entity boundary,12
boundary lazy-class degenerate,19
controller degenerate,36
boundary data-class small-class,7
data-provider lazy-class degenerate,11
factory controller degenerate,2
boundary controller,1
commander degenerate,3
data-class small-class,6
factory controller small-class,33
minimal-entity boundary,5
data-provider boundary small-class,28
pure-controller,24
controller,37
factory pure-controller degenerate small-class,16
entity factory controller small-class,27
pure-controller degenerate small-class,225
entity boundary small-class,178
minimal-entity commander boundary,2
data-provider boundary data-class,7
factory pure-controller small-class,2
lazy-class small-class,3
entity factory controller,7
Total,5823
