Unique Class Stereotype,Class Count
lazy-class,1
data-provider boundary lazy-class degenerate,1
commander lazy-class small-class,1
commander boundary lazy-class degenerate,4
commander boundary data-class,1
commander data-class small-class,12
data-provider data-class,16
entity commander boundary,1
commander data-class,9
entity,1
small-class,27
degenerate small-class,20
factory controller,1
empty,362
pure-controller small-class,2
degenerate,73
boundary,36
boundary degenerate small-class,30
entity boundary degenerate,2
data-provider small-class,23
commander small-class,9
boundary data-class,9
commander boundary lazy-class small-class,1
data-provider,13
unclassified,64
controller small-class,1
commander boundary small-class,14
commander lazy-class degenerate,2
boundary degenerate,44
commander boundary,16
data-provider data-class small-class,33
data-provider boundary data-class small-class,1
data-provider boundary lazy-class,2
entity boundary,53
commander,16
commander boundary data-class small-class,7
data-class,4
data-provider lazy-class degenerate,8
boundary data-class small-class,1
entity boundary data-class,1
minimal-entity boundary,2
data-class small-class,1
commander degenerate,5
factory controller small-class,3
pure-controller degenerate small-class,8
entity boundary small-class,8
minimal-entity commander boundary,1
data-provider degenerate,6
data-provider boundary data-class,1
boundary small-class,2
entity minimal-entity boundary lazy-class,1
data-provider boundary small-class,3
controller,7
commander boundary degenerate,1
data-provider lazy-class,6
data-provider boundary,13
entity minimal-entity boundary,1
controller degenerate,3
boundary lazy-class degenerate,1
factory controller degenerate,1
pure-controller degenerate,10
entity data-provider boundary,1
entity factory controller,1
Total,1008
