Unique Method Stereotype,Method Count
get property factory controller,1
property factory,1
predicate set,1
get predicate collaborator,1
get set,2
collaborator,2
set factory collaborator,1
get wrapper,1
void-accessor set,11
incidental,88
property non-void-command factory collaborator,31
property non-void-command,15
non-void-command,36
set collaborator,54
property non-void-command collaborator,175
property controller,15
collaborator incidental,60
get,50
get property non-void-command collaborator,2
void-accessor command collaborator,72
copy-constructor,4
void-accessor collaborator,1
collaborator stateless,62
predicate controller,12
predicate non-void-command,32
wrapper stateless,268
property set,1
factory collaborator incidental,3
constructor,325
get property controller,1
set,63
property wrapper,37
get non-void-command collaborator,2
factory collaborator stateless,4
property set collaborator,4
property collaborator,8
stateless,18
predicate non-void-command collaborator,154
wrapper,75
command collaborator,642
property,4
predicate set collaborator,5
non-void-command factory collaborator,9
controller stateless,76
get collaborator,154
factory wrapper stateless,4
predicate collaborator,8
get non-void-command,1
non-void-command collaborator,23
predicate wrapper,47
void-accessor command,49
factory controller stateless,12
factory stateless,4
get property collaborator,2
void-accessor set collaborator,7
predicate,18
destructor,1
property factory collaborator,6
controller,21
factory collaborator,3
unclassified,4
get non-void-command factory collaborator,1
empty,30
command,683
property factory wrapper,1
property factory controller,6
void-accessor controller,2
get set collaborator,3
Total,3519
