Class Stereotype,Stereotype Count
entity,1019
minimal-entity,22
data-provider,1405
commander,1127
boundary,3189
factory,228
controller,366
pure-controller,545
large-class,2
lazy-class,146
degenerate,1624
data-class,427
small-class,2302
empty,1519
unclassified,772
Total,14693
