Unique Method Stereotype,Method Count
void-accessor controller,2
get wrapper,1
unclassified,1
property factory wrapper,1
factory collaborator stateless,12
non-void-command collaborator,1
property factory collaborator,1
collaborator,4
property wrapper,4
get non-void-command collaborator,29
get set collaborator,22
void-accessor command collaborator,3
void-accessor collaborator,51
get set,8
wrapper,23
get non-void-command,10
get collaborator,8
predicate set collaborator,1
property,3
property controller,4
set collaborator,9
property non-void-command collaborator,129
predicate non-void-command,4
empty,1
command,17
void-accessor command,3
constructor,196
set,4
controller stateless,554
wrapper stateless,486
collaborator stateless,37
copy-constructor,4
incidental,5
predicate non-void-command collaborator,30
controller,20
property set collaborator,6
stateless,3
command collaborator,37
get controller,1
factory controller stateless,3
get,3
collaborator incidental,15
get property non-void-command collaborator,3
property non-void-command factory collaborator,7
property collaborator,2
predicate set,2
property non-void-command,17
non-void-command factory collaborator,4
predicate controller,2
get property factory controller,1
Total,1794
