Unique Method Stereotype,Method Count
void-accessor controller,1
non-void-command factory collaborator,16
predicate non-void-command,2
property,4
constructor,51
get collaborator,7
set,69
get property collaborator,1
get,69
command,53
empty,1
controller stateless,56
command collaborator,45
get non-void-command,3
wrapper,1
factory collaborator stateless,1
property non-void-command collaborator,9
set collaborator,12
get set factory collaborator,1
controller,8
incidental,3
predicate non-void-command collaborator,2
property wrapper,2
wrapper stateless,10
factory wrapper,1
factory wrapper stateless,2
property non-void-command,22
property collaborator,1
property non-void-command factory collaborator,2
factory controller stateless,1
Total,456
