Unique Class Stereotype,Class Count
boundary controller,1
factory,1
data-provider boundary,1
data-provider boundary small-class,2
boundary degenerate,3
data-provider boundary degenerate,1
data-provider data-class small-class,6
commander boundary lazy-class degenerate,1
boundary small-class,8
entity factory controller,4
factory degenerate small-class,9
data-provider boundary data-class,1
controller degenerate,1
boundary lazy-class degenerate,3
pure-controller degenerate,11
commander boundary,10
entity factory controller small-class,9
commander small-class,6
commander boundary data-class small-class,4
entity boundary degenerate,1
commander lazy-class degenerate,1
boundary degenerate small-class,18
factory pure-controller small-class,1
pure-controller degenerate small-class,28
entity commander boundary,7
commander boundary small-class,16
lazy-class,1
entity boundary small-class,66
small-class,55
data-class small-class,1
entity boundary,39
factory controller small-class,9
entity,2
entity degenerate,1
entity minimal-entity boundary,1
factory controller,9
empty,955
entity small-class,6
commander,8
unclassified,39
controller small-class,17
data-provider boundary data-class small-class,1
controller,21
degenerate small-class,12
degenerate,9
boundary,40
pure-controller small-class,117
boundary data-class small-class,3
data-provider lazy-class degenerate,1
data-provider,1
Total,1568
