Unique Class Stereotype,Class Count
entity boundary small-class,1
commander boundary small-class,1
controller degenerate,1
factory controller small-class,1
unclassified,2
empty,5
commander small-class,3
commander boundary,10
boundary data-class,1
entity commander boundary,1
pure-controller degenerate small-class,1
data-provider boundary small-class,1
commander,8
boundary,5
data-provider boundary,2
boundary small-class,1
lazy-class degenerate,1
entity data-provider boundary,2
degenerate,5
Total,52
