Unique Class Stereotype,Class Count
data-provider boundary data-class small-class,1
lazy-class,1
data-provider small-class,5
commander boundary,14
controller,7
boundary degenerate,4
commander small-class,4
commander data-class,1
entity boundary,13
lazy-class degenerate,4
boundary degenerate small-class,3
empty,76
commander,8
data-provider boundary small-class,2
small-class,28
commander lazy-class,1
data-provider data-class small-class,1
data-provider,2
entity commander boundary,6
pure-controller degenerate small-class,3
entity boundary small-class,3
entity boundary lazy-class degenerate,1
unclassified,67
controller small-class,3
data-provider boundary,4
controller degenerate,1
boundary lazy-class degenerate,3
entity minimal-entity boundary,1
commander boundary small-class,1
entity data-provider boundary,2
degenerate small-class,2
boundary,34
degenerate,2
Total,308
