Unique Method Stereotype,Method Count
property set factory,1
property factory,2
predicate set,2
get property set collaborator,1
get property wrapper,1
property set factory collaborator,5
get non-void-command factory collaborator,2
property factory collaborator,18
property controller,79
property non-void-command collaborator,1303
factory collaborator,2
controller,132
void-accessor collaborator,1
copy-constructor,126
incidental,67
wrapper stateless,484
property set collaborator,204
predicate non-void-command collaborator,114
wrapper,141
get predicate non-void-command,1
get factory collaborator,1
get set,2
property non-void-command,65
property non-void-command factory collaborator,122
stateless,8
property collaborator,42
set,73
constructor,1670
empty,61
get property controller,3
factory controller,8
property non-void-command factory,2
collaborator stateless,71
get predicate controller,1
predicate wrapper,22
controller stateless,484
non-void-command factory collaborator,43
predicate non-void-command,16
property wrapper,251
get non-void-command collaborator,19
get,24
collaborator incidental,157
get property non-void-command collaborator,8
get controller,3
get collaborator,45
property set,15
factory collaborator incidental,4
set collaborator,165
non-void-command,2
set factory collaborator,2
collaborator,7
unclassified,16
non-void-command collaborator,1584
get non-void-command,11
command,261
property factory wrapper,14
predicate,15
get wrapper,11
predicate set collaborator,15
get set collaborator,10
factory collaborator stateless,20
void-accessor command collaborator,34
factory wrapper stateless,11
void-accessor,1
predicate collaborator,6
command collaborator,562
property,17
factory wrapper,4
factory controller stateless,32
void-accessor command,2
void-accessor set collaborator,6
get property collaborator,6
get property non-void-command,1
predicate controller,24
get property non-void-command factory,1
get set factory collaborator,1
void-accessor controller,6
property factory controller,15
destructor,4
Total,8772
