Unique Method Stereotype,Method Count
non-void-command collaborator,5
void-accessor command collaborator,1
get property non-void-command,3
get set collaborator,1
collaborator stateless,2
unclassified,1
wrapper stateless,11
void-accessor command,15
get set,2
property set,6
constructor,107
set,12
controller stateless,267
property,10
command collaborator,20
destructor,15
get non-void-command,6
command,47
property controller,5
property non-void-command collaborator,67
predicate non-void-command,59
get non-void-command collaborator,2
property wrapper,4
predicate set,2
property non-void-command factory collaborator,4
property non-void-command,250
property collaborator,5
non-void-command factory collaborator,6
predicate controller,1
get property set collaborator,1
predicate,1
collaborator incidental,57
get,20
get property non-void-command collaborator,3
factory controller stateless,5
get collaborator,2
copy-constructor,2
predicate non-void-command collaborator,15
controller,3
incidental,115
collaborator,1
get wrapper,1
Total,1162
