Unique Method Stereotype,Method Count
predicate collaborator,1
non-void-command,1
property,3
collaborator stateless,1
factory wrapper,1
property set,3
get property factory collaborator,1
unclassified,1
get property non-void-command factory collaborator,1
void-accessor command collaborator,3
non-void-command collaborator,5
predicate wrapper,7
predicate non-void-command,3
get collaborator,1
get property non-void-command collaborator,1
collaborator incidental,4
get,2
controller stateless,16
non-void-command factory collaborator,1
predicate controller,9
property factory collaborator,16
wrapper stateless,93
get non-void-command collaborator,11
property wrapper,10
wrapper,18
stateless,1
property set collaborator,6
get property collaborator,1
set,19
constructor,390
property factory wrapper,5
command collaborator,122
command,50
empty,3
factory controller,5
get factory collaborator,1
property non-void-command factory,1
predicate set collaborator,11
get non-void-command,3
get property wrapper,1
property controller,8
set collaborator,25
property non-void-command collaborator,64
predicate,6
predicate set,2
property collaborator,14
property non-void-command factory collaborator,13
property non-void-command,26
predicate non-void-command collaborator,35
controller,9
copy-constructor,13
get wrapper,7
collaborator,6
get controller,1
factory controller stateless,16
Total,1077
