Unique Class Stereotype,Class Count
pure-controller small-class,1
boundary data-class,1
entity commander boundary,1
entity,1
commander,7
commander degenerate,1
commander boundary small-class,4
degenerate small-class,1
data-class,1
pure-controller degenerate small-class,7
empty,19
unclassified,7
commander boundary,4
commander small-class,1
factory controller degenerate,1
factory degenerate small-class,8
entity boundary,3
controller small-class,1
small-class,6
entity boundary small-class,14
Total,89
