Unique Method Stereotype,Method Count
predicate set,2
get command collaborator,1
void-accessor,1
get property factory collaborator,2
property set factory collaborator,1
unclassified,6
get property collaborator,3
set factory collaborator,1
void-accessor command collaborator,1
predicate controller,27
property non-void-command factory,1
collaborator stateless,13
get property set factory collaborator,3
factory controller stateless,106
property non-void-command factory collaborator,186
property non-void-command,228
empty,134
property collaborator,6
stateless,10
property set collaborator,23
collaborator incidental,106
get,391
get property non-void-command collaborator,19
non-void-command,1
set collaborator,800
property controller,121
property non-void-command collaborator,1261
non-void-command factory collaborator,102
controller stateless,1651
wrapper stateless,925
set,641
constructor,1485
factory controller,39
get property controller,4
get non-void-command collaborator,142
property wrapper,100
property,54
command collaborator,4329
incidental,112
controller,454
copy-constructor,6
get controller,27
get collaborator,505
factory collaborator stateless,85
predicate non-void-command collaborator,146
wrapper,386
factory wrapper stateless,57
predicate non-void-command,65
property factory,1
property factory collaborator,15
get property wrapper,3
get property non-void-command factory collaborator,16
get non-void-command factory collaborator,11
get set collaborator,244
get predicate non-void-command,1
get set,11
non-void-command factory,2
get factory collaborator,13
predicate wrapper,7
get non-void-command,14
non-void-command collaborator,2
predicate,12
get property set collaborator,7
get wrapper,1
property set,1
get property factory wrapper,1
get property factory controller,2
factory collaborator incidental,2
property factory controller,34
get set factory collaborator,2
command,3775
property factory wrapper,4
Total,18950
