Unique Method Stereotype,Method Count
property factory collaborator,1
void-accessor controller,4
collaborator,1
void-accessor set,1
empty,12
wrapper,11
predicate controller,4
void-accessor set collaborator,1
get non-void-command,2
predicate wrapper,8
non-void-command collaborator,1
destructor,26
property set collaborator,4
predicate collaborator,11
command collaborator,50
predicate set collaborator,5
property,23
controller stateless,51
void-accessor,1
void-accessor collaborator,44
void-accessor command collaborator,10
void-accessor wrapper,4
wrapper stateless,31
constructor,54
set,52
property controller,15
set collaborator,12
property non-void-command collaborator,46
predicate non-void-command,25
command,18
get collaborator,5
collaborator incidental,11
get,50
controller,2
incidental,12
predicate non-void-command collaborator,29
get non-void-command collaborator,2
property wrapper,3
property collaborator,15
predicate set,4
property non-void-command,5
void-accessor command,16
predicate,26
Total,708
