Class Stereotype,Stereotype Count
entity,875
minimal-entity,30
data-provider,423
commander,2934
boundary,3603
factory,582
controller,437
pure-controller,1948
large-class,1
lazy-class,77
degenerate,4133
data-class,768
small-class,5343
empty,3239
unclassified,801
Total,25194
