Unique Method Stereotype,Method Count
get property non-void-command factory collaborator,1
get property non-void-command collaborator,2
get property factory collaborator,1
factory controller,1
property non-void-command collaborator,1134
property controller,5
controller,16
incidental,154
copy-constructor,24
get collaborator,196
wrapper stateless,145
void-accessor set,1
set collaborator,266
non-void-command,1
predicate set collaborator,3
collaborator incidental,133
get,216
property non-void-command,18
property non-void-command factory collaborator,20
get non-void-command collaborator,22
property wrapper,210
set factory collaborator,1
collaborator stateless,27
empty,242
void-accessor wrapper,2
predicate non-void-command,39
predicate,22
constructor,338
set,113
property factory collaborator,5
predicate non-void-command collaborator,59
wrapper,58
get set,3
property collaborator,15
stateless,7
property set collaborator,2
command collaborator,252
property,19
factory wrapper stateless,2
predicate collaborator,2
predicate wrapper,19
get property collaborator,1
get property non-void-command,1
get set collaborator,15
predicate controller,7
controller stateless,112
non-void-command factory collaborator,3
void-accessor command collaborator,16
destructor,16
get wrapper,6
factory collaborator stateless,8
void-accessor command,1
factory controller stateless,1
property set,1
factory collaborator incidental,6
unclassified,4
non-void-command collaborator,54
get non-void-command,2
command,134
property factory wrapper,2
get set factory collaborator,101
void-accessor controller,5
property factory controller,4
property set factory collaborator,1
Total,4297
