Unique Method Stereotype,Method Count
factory collaborator incidental,2
property factory collaborator,1
get set collaborator,2
property factory,6
void-accessor command collaborator,277
property non-void-command collaborator,348
property controller,21
property collaborator,146
property non-void-command,38
predicate set,4
property non-void-command factory collaborator,19
predicate set collaborator,13
get controller,12
get collaborator,124
predicate wrapper,25
predicate controller,15
void-accessor collaborator,8
copy-constructor,147
controller,39
incidental,74
unclassified,44
get set,4
non-void-command factory,2
get property non-void-command factory collaborator,1
empty,91
wrapper stateless,286
constructor,599
set,84
collaborator incidental,64
get,77
get property non-void-command collaborator,7
get wrapper,17
void-accessor,1
predicate collaborator,12
factory wrapper stateless,3
destructor,247
predicate non-void-command collaborator,134
wrapper,187
get property non-void-command,2
get property collaborator,2
void-accessor set collaborator,33
non-void-command collaborator,10
get non-void-command,35
set factory,1
void-accessor controller,28
non-void-command factory collaborator,1
controller stateless,160
get non-void-command collaborator,24
property wrapper,106
property command collaborator,18
collaborator,22
set factory collaborator,5
predicate,98
property set collaborator,17
property set,4
factory controller stateless,3
void-accessor command,38
command collaborator,270
property,41
set collaborator,66
non-void-command,5
void-accessor set,7
void-accessor wrapper,64
predicate non-void-command,43
property set factory collaborator,1
command,323
property factory wrapper,1
Total,4609
