Unique Method Stereotype,Method Count
void-accessor controller,2
collaborator,5
get collaborator,1
predicate set collaborator,1
property factory wrapper,1
predicate,2
unclassified,1
predicate non-void-command,3
collaborator stateless,1
void-accessor command collaborator,16
predicate wrapper,3
non-void-command collaborator,22
collaborator incidental,9
non-void-command,9
predicate collaborator,3
wrapper,27
destructor,9
factory controller,1
empty,14
command,39
command collaborator,121
void-accessor set collaborator,6
constructor,113
set,33
stateless,4
predicate controller,2
non-void-command factory collaborator,3
get non-void-command collaborator,1
property wrapper,5
wrapper stateless,27
property,4
predicate set,1
property collaborator,1
property non-void-command factory collaborator,5
property non-void-command,16
incidental,3
controller,3
predicate non-void-command collaborator,4
copy-constructor,3
set collaborator,20
property non-void-command collaborator,25
property controller,4
controller stateless,17
Total,590
